source_id,name,category,subcategories,store
613,DX1624040 JEWELLERY,Necklaces,"Women, Clothing",Michael’s fashion store
614,DX1670710 JEWELLERY,Necklaces,"Women, Clothing",Michael’s fashion store
615,DX1469,Bracelets,"Women, Clothing",Michael’s fashion store
616,DZ5606 WATCH,Watches,"Women, Clothing",Michael’s fashion store
617,DZ2236 WATCH,Timeframes,"Women, Clothing",Michael’s fashion store
618,DX1707040 JEWELLERY,Bracelets,"Women, Clothing",Michael’s fashion store
619,DZ4683,Timeframes,"Women, Clothing",Michael’s fashion store
620,22 Karat 916 Purity,Men's Jewellery,Men,Michael’s fashion store
621,CALVIN KLEIN Grey He,Women,"Women, Clothing",Michael’s fashion store
622,CALVIN KLEIN Ice Wat,Women,"Women, Clothing",Michael’s fashion store
623,CALVIN KLEIN Thong,Women,"Women, Clothing",Michael’s fashion store
624,Adage ring,Chaînes d’ancre,Women,Elite Essentials
625,Chaine d'ancre Danae,Chaînes d’ancre,Women,Elite Essentials
626,Men Water Resistant,Men's Wrist Watches,Men,Elite Essentials
627,DZ5615 WATCH,Watches,"Women, Clothing",Elite Essentials
628,DZ4704 WATCH,Timeframes,"Women, Clothing",Elite Essentials
629,DZ7484,Timeframes,"Women, Clothing",Elite Essentials
630,Prime RTX 5070 12GB,Graphics Cards,Computers & Accessories,Elite Essentials
631,Battle Gaming PC - I,Tower PCs,Computers & Accessories,Elite Essentials
632,34 inch MI Curved Ga,Monitors,Computers & Accessories,Elite Essentials
633,"Kelly bracelet, smal",Kelly,Women,Prestige World
634,Adage ring,Gold Jewelry,Women,Prestige World
635,Alchimie Hermes ring,Kelly,Women,Prestige World
636,"Vertige pendant, sma",Gold Jewelry,Women,Prestige World
637,"Farandole earrings,",Earrings,Women,Prestige World
638,Vertige ring,Gold Jewelry,Women,Prestige World
639,Men Stainless Steel,Men's Wrist Watches,Men,Prestige World
640,Planètes & Météores,Precious moments,Women,Prestige World
641,"Farandole earrings,",Earrings,Women,Prestige World
642,PUMA,Women,,Prestige World
643,BIRKENSTOCK,Women,,Prestige World
644,Nitro V Gaming Lapto,Notebook Laptops,Computers & Accessories,Prestige World
645,STELLA MCCARTNEY Wom,Party Dresses,Women,Prestige World
646,Lululemon Women Stan,Women's Track Jacket,Women,Prestige World
647,Embroidered Fit & Fl,Mini Dresses,Women,Prestige World
648,Tom Ford Winona Cat,Women's Sunglasses,Women,Prestige World
649,Nappa Leather Flats,Flat Sandals,Women,Prestige World
650,Strathberry Mosaic B,Bags,Women,Prestige World
651,Mega Deal 📣 PINKO Lo,Bags,Women,Prestige World
652,Strathberry East Wes,Bags,Women,Prestige World
653,Frye Melissa Zip Sat,Women's Handbags,Women,Prestige World
654,Michael Kors Laila M,Women's Handbags,Women,Prestige World
655,Hermès Videpoches ba,Women's bags and clutches,Women,Prestige World
656,Hermès Videpoches ba,Women's bags and clutches,Women,Prestige World
657,Hermès In-the-Loop 1,Women's bags and clutches,Women,Prestige World
658,"Lipari 70 sandal, Bl",Sandals,Women,Prestige World
